43.638020312,-79.536388119,Kipling
43.645950081,-79.523947976,Islington
43.648804442,-79.511540512,Royal York
43.650576487,-79.495224994,Old Mill
43.650291274,-79.484771783,Jane
43.652166954,-79.476499160,Runnymede
43.654594232,-79.465529622,High Park
43.655700785,-79.460315483,Keele
43.657142061,-79.452678426,Dundas West
43.659142924,-79.442969912,Lansdowne
43.660665098,-79.435955802,Dufferin
43.662663329,-79.426156823,Ossington
43.664251781,-79.418693027,Christie
43.665991758,-79.411582548,Bathurst
43.667647755,-79.403758401,Spadina
43.668311635,-79.398643233,St George
43.670400288,-79.390270289,Bay
43.670706062,-79.385879814,Yonge
43.672345084,-79.376981614,Sherbourne
43.674140625,-79.368794155,Castle Frank
43.676861715,-79.358523845,Broadview
43.678377345,-79.351416279,Chester
43.679684930,-79.345208527,Pape
43.681050077,-79.337925572,Donlands
43.682703613,-79.330276435,Greenwood
43.684149170,-79.323527235,Coxwell
43.686352895,-79.313357113,Woodbine
43.688916606,-79.302728755,Main Street
43.694320822,-79.290318935,Victoria Park
43.712242009,-79.278980371,Warden
43.732118151,-79.265698446,Kennedy
